机械工程,49,28,17,1,0,3,0,0,0,0,0,0,100.00%
车辆工程,113,65,37,8,0,1,0,1,0,0,0,0,99.12%
应用化学,104,49,46,8,0,0,0,0,0,0,0,0,99.04%
材料化学,49,15,26,4,0,2,0,1,0,0,0,0,97.96%
材料成型及控制工程,96,27,55,1,0,7,0,4,0,0,0,0,97.92%
化学工程与工艺,166,78,74,5,0,2,0,2,0,0,0,1,97.59%
能源与动力工程,126,60,43,1,0,13,1,4,0,0,0,0,96.83%
材料科学与工程,57,18,33,0,0,2,0,2,0,0,0,0,96.49%
油气储运工程,131,43,77,1,0,5,0,0,0,0,0,0,96.18%
应用物理学,51,8,33,5,0,2,0,1,0,0,0,0,96.08%
石油工程,254,65,171,2,0,5,1,0,0,0,0,0,96.06%
海洋油气工程,50,16,28,2,0,1,1,0,0,0,0,0,96.00%
软件工程,132,61,43,2,0,17,1,2,0,0,0,0,95.45%
物联网工程,64,31,26,2,0,2,0,0,0,0,0,0,95.31%
电气工程及其自动化,183,73,75,8,1,9,1,3,3,0,0,0,94.54%
建筑学,54,20,9,8,0,5,1,8,0,0,0,0,94.44%
安全工程,88,31,44,1,0,5,1,1,0,0,0,0,94.32%
化学,52,22,24,2,0,1,0,0,0,0,0,0,94.23%
环保设备工程,47,21,19,0,0,2,0,1,1,0,0,0,93.62%
勘查技术与工程,89,20,57,4,0,1,0,1,0,0,0,0,93.26%
地质学,29,3,23,1,0,0,0,0,0,0,0,0,93.10%
通信工程,87,29,46,3,0,3,0,0,0,0,0,0,93.10%
计算机科学与技术,145,55,57,8,0,12,0,2,0,0,0,0,92.41%
土木工程,116,41,58,1,0,7,0,0,0,0,0,0,92.24%
机械设计制造及其自动化,179,67,83,7,0,7,0,1,0,0,0,0,92.18%
过程装备与控制工程,151,58,63,9,0,6,1,1,1,0,0,0,92.05%
数学与应用数学,63,18,21,6,0,10,0,2,0,0,0,0,90.48%
能源化学工程,52,22,21,3,0,1,0,0,0,0,0,0,90.38%
光电信息科学与工程,51,14,23,3,1,0,0,5,0,0,0,0,90.20%
建筑环境与能源应用工程,51,22,17,5,0,1,0,0,0,0,1,0,90.20%
信息与计算科学,58,27,13,6,1,5,0,0,0,0,0,0,89.66%
地球物理学,36,8,22,2,0,0,0,0,0,0,0,0,88.89%
材料物理,59,14,31,5,0,1,0,1,0,0,0,0,88.14%
工程管理,57,32,11,2,0,5,0,0,0,0,0,0,87.72%
工程力学,55,15,28,1,0,4,0,0,0,0,0,0,87.27%
环境工程,58,20,26,0,0,2,0,2,0,0,0,0,86.21%
船舶与海洋工程,43,12,18,1,0,4,2,0,0,0,0,0,86.05%
测绘工程,41,7,26,0,0,1,1,0,0,0,0,0,85.37%
英语,61,20,20,7,0,2,1,0,1,0,0,0,83.61%
资源勘查工程,79,27,33,1,0,5,0,0,0,0,0,0,83.54%
工业设计,63,27,15,4,0,5,1,0,0,0,0,0,82.54%
俄语,55,19,20,1,0,3,0,0,0,0,0,2,81.82%
财务管理,82,37,19,8,0,1,0,1,0,0,0,0,80.49%
电子信息工程,89,16,45,6,0,4,0,0,0,0,0,0,79.78%
信息管理与信息系统,68,28,18,2,0,6,0,0,0,0,0,0,79.41%
会计学,70,25,21,4,0,4,0,1,0,0,0,0,78.57%
自动化,151,40,64,5,0,8,0,1,0,0,0,0,78.15%
市场营销,32,12,7,1,0,4,0,1,0,0,0,0,78.13%
国际经济与贸易,59,14,12,8,0,10,0,0,0,0,0,0,74.58%
经济学,78,22,28,1,1,5,0,0,1,0,0,0,74.36%
汉语言文学,67,22,19,2,0,5,0,1,0,0,0,0,73.13%
法学,63,12,20,2,0,2,7,3,0,0,0,0,73.02%
行政管理,70,21,18,4,0,3,0,2,0,0,0,0,68.57%
测控技术与仪器,81,24,25,2,0,3,0,0,0,0,0,0,66.67%
地理信息科学,50,8,24,1,0,0,0,0,0,0,0,0,66.00%
音乐学,31,4,6,3,0,0,1,5,0,0,0,0,61.29%
本科总计,4535,1593,1938,190,4,224,21,60,7,0,1,3,89.11%
